PSB ,	21756181, 
DEM ,	18588546, 
PR ,	14052500
PSD ,	8769081
PDT ,	5586245
PC do B,4090015
PSC ,	1580455
PRB ,	1455000
PRTB ,	1453000
PROS ,	1390000
PV ,	1240000
PEN ,	1100880
PPS ,	1090000
PTN ,	690000
PT do B ,624097
PMN ,	602050
PSL ,	373840
PTC ,	250000
PHS ,	60000
PRP ,	36000
PPL ,	25000
PSDC  ,710
