metric,code,label,iso,country,year,value
pisa_read,I.B1.5.5,PISA reading mean,CHL,Chile,2012,441.39816
pisa_sci,I.B1.5.6,PISA science mean,CHL,Chile,2012,444.93393
pisa_math,I.B1.5.4,PISA mathematics mean,CHL,Chile,2015,422.67136
pisa_read,I.B1.5.5,PISA reading mean,CHL,Chile,2015,458.57086
pisa_sci,I.B1.5.6,PISA science mean,CHL,Chile,2015,446.95605
pisa_math,I.B1.5.4,PISA mathematics mean,CHL,Chile,2018,417.40656
pisa_read,I.B1.5.5,PISA reading mean,CHL,Chile,2018,452.27255
pisa_sci,I.B1.5.6,PISA science mean,CHL,Chile,2018,443.58255
pisa_math,I.B1.5.4,PISA mathematics mean,CHL,Chile,2022,411.69656
pisa_read,I.B1.5.5,PISA reading mean,CHL,Chile,2022,447.97894
pisa_sci,I.B1.5.6,PISA science mean,CHL,Chile,2022,443.5434
pisa_math,I.B1.5.4,PISA mathematics mean,COL,Colombia,2006,369.97852
pisa_read,I.B1.5.5,PISA reading mean,COL,Colombia,2006,385.30804
pisa_sci,I.B1.5.6,PISA science mean,COL,Colombia,2006,388.03827
pisa_math,I.B1.5.4,PISA mathematics mean,COL,Colombia,2009,380.8482
pisa_read,I.B1.5.5,PISA reading mean,COL,Colombia,2009,413.1815
pisa_sci,I.B1.5.6,PISA science mean,COL,Colombia,2009,401.75012
pisa_math,I.B1.5.4,PISA mathematics mean,COL,Colombia,2012,376.4886
pisa_read,I.B1.5.5,PISA reading mean,COL,Colombia,2012,403.40253
pisa_sci,I.B1.5.6,PISA science mean,COL,Colombia,2012,398.67862
pisa_math,I.B1.5.4,PISA mathematics mean,COL,Colombia,2015,389.64383
pisa_read,I.B1.5.5,PISA reading mean,COL,Colombia,2015,424.90518
pisa_sci,I.B1.5.6,PISA science mean,COL,Colombia,2015,415.72876
pisa_math,I.B1.5.4,PISA mathematics mean,COL,Colombia,2018,390.93228
pisa_read,I.B1.5.5,PISA reading mean,COL,Colombia,2018,412.29507
pisa_sci,I.B1.5.6,PISA science mean,COL,Colombia,2018,413.323
pisa_math,I.B1.5.4,PISA mathematics mean,COL,Colombia,2022,382.69684
pisa_read,I.B1.5.5,PISA reading mean,COL,Colombia,2022,408.66504
pisa_sci,I.B1.5.6,PISA science mean,COL,Colombia,2022,411.12067
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2000,491.57703
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2003,516.455
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2003,488.5423
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2006,509.85934
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2006,482.71515
pisa_sci,I.B1.5.6,PISA science mean,CZE,Czechia,2006,512.8607
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2009,492.8141
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2009,478.1867
pisa_sci,I.B1.5.6,PISA science mean,CZE,Czechia,2009,500.49707
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2012,498.9579
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2012,492.88974
pisa_sci,I.B1.5.6,PISA science mean,CZE,Czechia,2012,508.29907
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2015,492.32544
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2015,487.25015
pisa_sci,I.B1.5.6,PISA science mean,CZE,Czechia,2015,492.83005
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2018,499.46765
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2018,490.2188
pisa_sci,I.B1.5.6,PISA science mean,CZE,Czechia,2018,496.79132
pisa_math,I.B1.5.4,PISA mathematics mean,CZE,Czechia,2022,486.9992
pisa_read,I.B1.5.5,PISA reading mean,CZE,Czechia,2022,488.60367
pisa_sci,I.B1.5.6,PISA science mean,CZE,Czechia,2022,497.74203
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2000,479.96677
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2003,490.0124
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2003,481.8697
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2006,490.93738
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2006,482.3745
pisa_sci,I.B1.5.6,PISA science mean,HUN,Hungary,2006,503.93173
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2009,490.17
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2009,494.17874
pisa_sci,I.B1.5.6,PISA science mean,HUN,Hungary,2009,502.64276
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2012,477.04446
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2012,488.46133
pisa_sci,I.B1.5.6,PISA science mean,HUN,Hungary,2012,494.30234
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2015,476.83087
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2015,469.52325
pisa_sci,I.B1.5.6,PISA science mean,HUN,Hungary,2015,476.7475
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2018,481.08264
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2018,475.98666
pisa_sci,I.B1.5.6,PISA science mean,HUN,Hungary,2018,480.91168
pisa_math,I.B1.5.4,PISA mathematics mean,HUN,Hungary,2022,472.77612
pisa_read,I.B1.5.5,PISA reading mean,HUN,Hungary,2022,472.97473
pisa_sci,I.B1.5.6,PISA science mean,HUN,Hungary,2022,485.89017
pisa_read,I.B1.5.5,PISA reading mean,IDN,Indonesia,2000,370.61465
pisa_math,I.B1.5.4,PISA mathematics mean,IDN,Indonesia,2003,360.15884
pisa_read,I.B1.5.5,PISA reading mean,IDN,Indonesia,2003,381.59036
pisa_math,I.B1.5.4,PISA mathematics mean,IDN,Indonesia,2006,391.0068
pisa_read,I.B1.5.5,PISA reading mean,IDN,Indonesia,2006,392.93283
pisa_sci,I.B1.5.6,PISA science mean,IDN,Indonesia,2006,393.48102
pisa_math,I.B1.5.4,PISA mathematics mean,IDN,Indonesia,2009,371.30093
pisa_read,I.B1.5.5,PISA reading mean,IDN,Indonesia,2009,401.7052
pisa_sci,I.B1.5.6,PISA science mean,IDN,Indonesia,2009,382.56946
pisa_math,I.B1.5.4,PISA mathematics mean,IDN,Indonesia,2012,375.11444
pisa_read,I.B1.5.5,PISA reading mean,IDN,Indonesia,2012,396.1201
pisa_sci,I.B1.5.6,PISA science mean,IDN,Indonesia,2012,381.9115
pisa_math,I.B1.5.4,PISA mathematics mean,IDN,Indonesia,2015,386.1096
pisa_read,I.B1.5.5,PISA reading mean,IDN,Indonesia,2015,397.2595
pisa_sci,I.B1.5.6,PISA science mean,IDN,Indonesia,2015,403.09973
pisa_math,I.B1.5.4,PISA mathematics mean,IDN,Indonesia,2018,378.66812
pisa_read,I.B1.5.5,PISA reading mean,IDN,Indonesia,2018,370.9654
pisa_sci,I.B1.5.6,PISA science mean,IDN,Indonesia,2018,396.07007
pisa_math,I.B1.5.4,PISA mathematics mean,IDN,Indonesia,2022,365.52527
pisa_read,I.B1.5.5,PISA reading mean,IDN,Indonesia,2022,358.56985
pisa_sci,I.B1.5.6,PISA science mean,IDN,Indonesia,2022,382.8634
pisa_math,I.B1.5.4,PISA mathematics mean,MYS,Malaysia,2012,420.51297
pisa_read,I.B1.5.5,PISA reading mean,MYS,Malaysia,2012,398.19604
pisa_sci,I.B1.5.6,PISA science mean,MYS,Malaysia,2012,419.50266
pisa_math,I.B1.5.4,PISA mathematics mean,MYS,Malaysia,2015,446.10977
pisa_read,I.B1.5.5,PISA reading mean,MYS,Malaysia,2015,430.5782
pisa_sci,I.B1.5.6,PISA science mean,MYS,Malaysia,2015,442.9475
pisa_math,I.B1.5.4,PISA mathematics mean,MYS,Malaysia,2018,440.20755
pisa_read,I.B1.5.5,PISA reading mean,MYS,Malaysia,2018,414.97952
pisa_sci,I.B1.5.6,PISA science mean,MYS,Malaysia,2018,437.61807
pisa_math,I.B1.5.4,PISA mathematics mean,MYS,Malaysia,2022,408.68744
pisa_read,I.B1.5.5,PISA reading mean,MYS,Malaysia,2022,388.0878
pisa_sci,I.B1.5.6,PISA science mean,MYS,Malaysia,2022,416.30612
pisa_read,I.B1.5.5,PISA reading mean,MEX,Mexico,2000,421.96063
pisa_math,I.B1.5.4,PISA mathematics mean,MEX,Mexico,2003,385.21835
pisa_read,I.B1.5.5,PISA reading mean,MEX,Mexico,2003,399.72192
pisa_math,I.B1.5.4,PISA mathematics mean,MEX,Mexico,2006,405.65463
pisa_read,I.B1.5.5,PISA reading mean,MEX,Mexico,2006,410.49646
pisa_sci,I.B1.5.6,PISA science mean,MEX,Mexico,2006,409.65195
pisa_math,I.B1.5.4,PISA mathematics mean,MEX,Mexico,2009,418.5091
pisa_read,I.B1.5.5,PISA reading mean,MEX,Mexico,2009,425.2653
pisa_sci,I.B1.5.6,PISA science mean,MEX,Mexico,2009,415.90866
pisa_math,I.B1.5.4,PISA mathematics mean,MEX,Mexico,2012,413.28146
pisa_read,I.B1.5.5,PISA reading mean,MEX,Mexico,2012,423.55377
pisa_sci,I.B1.5.6,PISA science mean,MEX,Mexico,2012,414.92014
pisa_math,I.B1.5.4,PISA mathematics mean,MEX,Mexico,2015,408.02347
pisa_read,I.B1.5.5,PISA reading mean,MEX,Mexico,2015,423.2765
pisa_sci,I.B1.5.6,PISA science mean,MEX,Mexico,2015,415.70987
pisa_math,I.B1.5.4,PISA mathematics mean,MEX,Mexico,2018,408.80148
pisa_read,I.B1.5.5,PISA reading mean,MEX,Mexico,2018,420.4689
pisa_sci,I.B1.5.6,PISA science mean,MEX,Mexico,2018,419.2047
pisa_math,I.B1.5.4,PISA mathematics mean,MEX,Mexico,2022,395.0299
pisa_read,I.B1.5.5,PISA reading mean,MEX,Mexico,2022,415.35895
pisa_sci,I.B1.5.6,PISA science mean,MEX,Mexico,2022,409.8866
pisa_read,I.B1.5.5,PISA reading mean,OECD,OECD average,2000,493.491
pisa_math,I.B1.5.4,PISA mathematics mean,OECD,OECD average,2003,499.46353
pisa_read,I.B1.5.5,PISA reading mean,OECD,OECD average,2003,494.08597
pisa_math,I.B1.5.4,PISA mathematics mean,OECD,OECD average,2006,490.40762
pisa_read,I.B1.5.5,PISA reading mean,OECD,OECD average,2006,485.3536
pisa_sci,I.B1.5.6,PISA science mean,OECD,OECD average,2006,494.80493
pisa_math,I.B1.5.4,PISA mathematics mean,OECD,OECD average,2009,491.71857
pisa_read,I.B1.5.5,PISA reading mean,OECD,OECD average,2009,490.34378
pisa_sci,I.B1.5.6,PISA science mean,OECD,OECD average,2009,497.72256
pisa_math,I.B1.5.4,PISA mathematics mean,OECD,OECD average,2012,488.16415
pisa_read,I.B1.5.5,PISA reading mean,OECD,OECD average,2012,491.8212
pisa_sci,I.B1.5.6,PISA science mean,OECD,OECD average,2012,496.44052
pisa_math,I.B1.5.4,PISA mathematics mean,OECD,OECD average,2015,484.8794
pisa_read,I.B1.5.5,PISA reading mean,OECD,OECD average,2015,488.5266
pisa_sci,I.B1.5.6,PISA science mean,OECD,OECD average,2015,488.75806
pisa_math,I.B1.5.4,PISA mathematics mean,OECD,OECD average,2018,486.99832
pisa_read,I.B1.5.5,PISA reading mean,OECD,OECD average,2018,485.4874
pisa_sci,I.B1.5.6,PISA science mean,OECD,OECD average,2018,486.74026
pisa_math,I.B1.5.4,PISA mathematics mean,OECD,OECD average,2022,472.35812
pisa_read,I.B1.5.5,PISA reading mean,OECD,OECD average,2022,475.58887
pisa_sci,I.B1.5.6,PISA science mean,OECD,OECD average,2022,484.6466
pisa_read,I.B1.5.5,PISA reading mean,PER,Peru,2000,327.08484
pisa_math,I.B1.5.4,PISA mathematics mean,PER,Peru,2009,365.10727
pisa_read,I.B1.5.5,PISA reading mean,PER,Peru,2009,369.69577
pisa_sci,I.B1.5.6,PISA science mean,PER,Peru,2009,369.35178
pisa_math,I.B1.5.4,PISA mathematics mean,PER,Peru,2012,368.10254
pisa_read,I.B1.5.5,PISA reading mean,PER,Peru,2012,384.1512
pisa_sci,I.B1.5.6,PISA science mean,PER,Peru,2012,373.11343
pisa_math,I.B1.5.4,PISA mathematics mean,PER,Peru,2015,386.56058
pisa_read,I.B1.5.5,PISA reading mean,PER,Peru,2015,397.54144
pisa_sci,I.B1.5.6,PISA science mean,PER,Peru,2015,396.68365
pisa_math,I.B1.5.4,PISA mathematics mean,PER,Peru,2018,399.83768
pisa_read,I.B1.5.5,PISA reading mean,PER,Peru,2018,400.5137
pisa_sci,I.B1.5.6,PISA science mean,PER,Peru,2018,404.2156
pisa_math,I.B1.5.4,PISA mathematics mean,PER,Peru,2022,391.23578
pisa_read,I.B1.5.5,PISA reading mean,PER,Peru,2022,408.24786
pisa_sci,I.B1.5.6,PISA science mean,PER,Peru,2022,407.77777
pisa_read,I.B1.5.5,PISA reading mean,POL,Poland,2000,479.12167
pisa_math,I.B1.5.4,PISA mathematics mean,POL,Poland,2003,490.23877
pisa_read,I.B1.5.5,PISA reading mean,POL,Poland,2003,496.60526
pisa_math,I.B1.5.4,PISA mathematics mean,POL,Poland,2006,495.4285
pisa_read,I.B1.5.5,PISA reading mean,POL,Poland,2006,507.63953
pisa_sci,I.B1.5.6,PISA science mean,POL,Poland,2006,497.8065
pisa_math,I.B1.5.4,PISA mathematics mean,POL,Poland,2009,494.80292
pisa_read,I.B1.5.5,PISA reading mean,POL,Poland,2009,500.4785
pisa_sci,I.B1.5.6,PISA science mean,POL,Poland,2009,508.0683
pisa_math,I.B1.5.4,PISA mathematics mean,POL,Poland,2012,517.5011
pisa_read,I.B1.5.5,PISA reading mean,POL,Poland,2012,518.1869
pisa_sci,I.B1.5.6,PISA science mean,POL,Poland,2012,525.81647
pisa_math,I.B1.5.4,PISA mathematics mean,POL,Poland,2015,504.46924
pisa_read,I.B1.5.5,PISA reading mean,POL,Poland,2015,505.69708
pisa_sci,I.B1.5.6,PISA science mean,POL,Poland,2015,501.43533
pisa_math,I.B1.5.4,PISA mathematics mean,POL,Poland,2018,515.6479
pisa_read,I.B1.5.5,PISA reading mean,POL,Poland,2018,511.85568
pisa_sci,I.B1.5.6,PISA science mean,POL,Poland,2018,511.03555
pisa_math,I.B1.5.4,PISA mathematics mean,POL,Poland,2022,488.96005
pisa_read,I.B1.5.5,PISA reading mean,POL,Poland,2022,488.71362
pisa_sci,I.B1.5.6,PISA science mean,POL,Poland,2022,499.16437
pisa_read,I.B1.5.5,PISA reading mean,RUS,Russia,2000,461.76202
pisa_math,I.B1.5.4,PISA mathematics mean,RUS,Russia,2003,468.40665
pisa_read,I.B1.5.5,PISA reading mean,RUS,Russia,2003,442.19684
pisa_math,I.B1.5.4,PISA mathematics mean,RUS,Russia,2006,475.67908
pisa_read,I.B1.5.5,PISA reading mean,RUS,Russia,2006,439.85574
pisa_sci,I.B1.5.6,PISA science mean,RUS,Russia,2006,479.47043
pisa_math,I.B1.5.4,PISA mathematics mean,RUS,Russia,2009,467.8122
pisa_read,I.B1.5.5,PISA reading mean,RUS,Russia,2009,459.39594
pisa_sci,I.B1.5.6,PISA science mean,RUS,Russia,2009,478.29752
pisa_math,I.B1.5.4,PISA mathematics mean,RUS,Russia,2012,482.1694
pisa_read,I.B1.5.5,PISA reading mean,RUS,Russia,2012,475.14938
pisa_sci,I.B1.5.6,PISA science mean,RUS,Russia,2012,486.2955
pisa_math,I.B1.5.4,PISA mathematics mean,RUS,Russia,2015,494.06003
pisa_read,I.B1.5.5,PISA reading mean,RUS,Russia,2015,494.62784
pisa_sci,I.B1.5.6,PISA science mean,RUS,Russia,2015,486.63104
pisa_math,I.B1.5.4,PISA mathematics mean,RUS,Russia,2018,487.78653
pisa_read,I.B1.5.5,PISA reading mean,RUS,Russia,2018,478.50192
